id_site;nom_site;type_site;typologie;lib_influence;id_polair;adresse;altitude;coord_x_l93;coord_y_l93;date_ouverture;date_dispo_mesures;date_fermeture;description_site;photo;nouv_typologie
98;Saint-Etienne Nord;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;29421;1 rue Pierre de Coubertin  42000 SAINT-ETIENNE;480;808596;6486214;20/07/1993;20/08/1993;06/01/2016;;http://carto.air-rhonealpes.fr/photos/photo_98.jpg;Périurbain-Fond
99;Saint-Etienne Jean Moulin;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;29422;Place Jean Moulin  42000 SAINT-ETIENNE;482;808859;6482956;20/07/1993;20/07/1993;02/11/1998;;http://carto.air-rhonealpes.fr/photos/photo_99.jpg;Urbain-Fond
100;Roanne;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;29423;Rue Gilbertes  42300 ROANNE;259;783106;6549622;27/07/1995;27/07/1995;;;http://carto.air-rhonealpes.fr/photos/photo_100.jpg;Urbain-Fond
101;Saint-Etienne Sud;FIXE+ETUDE;urbaine;fond                                                                                                                                                                                                                                                           ;29424;Place Préher  42000 SAINT-ETIENNE;552;809128;6481044;02/10/1996;02/10/1996;;;http://carto.air-rhonealpes.fr/photos/photo_101.jpg;Urbain-Fond
102;Ouest stéphanois / Firminy;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;29425;Lycée Albert Camus Impasse du collège des filles 42700 FIRMINY;467;800292;6477324;26/11/1998;26/11/1998;28/12/2010;;http://carto.air-rhonealpes.fr/photos/photo_102.jpg;Périurbain-Fond
103;Est stéphanois / Saint-Chamond;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;29426;8 Rue Dugas Montbel  42400 SAINT-CHAMOND;366;818377;6487358;08/12/1998;08/12/1998;;;http://carto.air-rhonealpes.fr/photos/photo_103.jpg;Urbain-Fond
104;Veauche;FIXE;proximité industrielle;industrielle                                                                                                                                                                                                                                                   ;29427;Rue du stade  42340 VEAUCHE;389;801287;6497095;08/12/1998;08/12/1998;01/01/2007;;http://carto.air-rhonealpes.fr/photos/photo_104.jpg;Rural-Industrielle
105;N88 Saint-Etienne;FIXE;proximité trafic;trafic                                                                                                                                                                                                                                                         ;29428;7 Rue Ernest Renan  42000 SAINT-ETIENNE;580;810485;6481283;27/12/2000;27/12/2000;01/02/2018;;http://carto.air-rhonealpes.fr/photos/photo_105.jpg;Urbain-Trafic
106;A47 Vallée du Gier;FIXE;proximité trafic;trafic                                                                                                                                                                                                                                                         ;29429;Rue Michelet  42800 RIVE-DE-GIER;255;826741;6493967;11/12/1998;11/12/1998;;;http://carto.air-rhonealpes.fr/photos/photo_106.jpg;Périurbain-Trafic
107;Contreforts du Forez;FIXE;rurale régionale;fond                                                                                                                                                                                                                                                           ;29432;Le bourg  42560 BOISSET-SAINT-PRIEST;588;786230;6490970;19/04/2006;19/04/2006;09/10/2006;Surveillance estivale de l'ozone en milieu rural.;http://carto.air-rhonealpes.fr/photos/photo_107.jpg;Rural-Fond
